EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
237157589,FUTURE BUSINESS LEADERS OF AMERICA PHI BETA LAMBDA INC,% JOSE R JIMENEZ-HERNANDEZ,PO BOX 190931,SAN JUAN,PR,00919-0931,2205,03,9,2000,197110,1,16,059200205,5,01,201906,0,0,02,0,06,0,0,0,,PUERTO RICO CHAPTER
237176806,UNITED STEELWORKERS,% KEILA LOPEZ,PO BOX 6828,BAYAMON,PR,00960-5828,0260,05,9,3000,194012,2,00,263059269,5,01,202312,4,3,01,0,12,125644,59110,59110,,06135 LOCAL
237247277,SOUTHEASTERN MENNONITE CONFERENCE INC,,HC 1 BOX 3321,FLORIDA,PR,00650-9506,0000,03,3,7000,197308,1,10,001000000,1,01,,0,0,06,0,06,,,,,
237254943,ROME FESTIVAL ORCHESTRA LTD,,PO BOX 1181,LUQUILLO,PR,00773-0000,0000,03,3,2100,197303,1,11,030000000,1,01,202212,4,4,01,0,12,158248,157057,63522,A68Z,
237259899,INTEGRAL DE LOIZA CONCILIODE SALUD,,PO BOX 509,LOIZA,PR,00772-0509,0000,03,3,1000,197312,1,15,998000000,1,01,202306,9,9,01,0,06,89328769,58681999,58681999,,
237282005,DISABLED AMERICAN VETERENS,% GABRIEL ALMODOVAR,ES EUDARDO RUBERTE,PLAYA DE PONCE,PR,00716-0000,0557,04,9,3000,194206,1,00,908279265,5,01,202306,0,0,02,0,06,0,0,0,,4 PONCE
237282007,DISABLED AMERICAN VETERANS,% CARLOS J MORALES IRIZARRY,743 E BRAVO RIVERO URB VILLA SULTAN,MAYAGUEZ,PR,00680-0000,0557,04,9,3000,194206,1,00,908279265,5,01,202306,0,0,02,0,06,0,0,0,,6 MAYAGUEZ
237282008,DISABLED AMERICAN VETERANS,% JUAN LOZANO-NIEVES,PO BOX 66,PUERTO REAL,PR,00740-0066,0557,04,9,3000,194206,1,00,908279265,5,01,202406,0,0,02,0,06,0,0,0,,7 FAJARDO
237282009,DISABLED AMERICAN VETERANS,% JIMMY DELUCCA,14 CALLE ESPERANZA,ARROYO,PR,00714-0000,0557,04,9,3000,194206,2,00,264927160,5,01,202406,0,0,02,0,06,0,0,0,,8 ARROYO
237282012,DISABLED AMERICAN VETERANS,% JOSE L BABILONIA-HESS,7 CALLE LOS ANGELES,ARECIBO,PR,00612-5479,0557,04,9,3000,194206,1,00,264927160,2,01,202306,0,0,02,0,06,0,0,0,W24,11 SGT A BERMUDEZ
237320915,UNITED STEELWORKERS,% DORALIS VAZQUEZ,6686,PONCE,PR,00733-0000,0260,05,9,3000,194012,2,00,263264279,5,01,202312,0,0,02,0,12,0,0,0,,08198 LOCAL
237322865,ALPHA PI MU ASSOCIATION,% MAYRA MENDEZ,26 CALLE AMBAR,GUAYAMA,PR,00784-7622,1085,03,9,2000,199401,2,16,036000000,5,01,202312,0,0,02,0,12,0,0,0,,PUERTO RICO CHAPTER
237352551,DISABLED AMERICAN VETERANS,% JIMMIE VELEZ,PO BOX 363604,SAN JUAN,PR,00936-3604,0557,04,9,3000,194206,1,00,264927160,5,01,202306,0,0,02,0,06,0,0,0,,DEPT OF PUERTO RICO
237390064,BEAN IMPROVEMENT COOPERATIVE,% TIMOTHY PORCH,2200 PA CAMPOST AVE SUITE 201,MAYAGUEZ,PR,00680-0000,0000,05,3,1000,197407,2,00,232000000,5,01,202403,0,0,02,0,03,0,0,0,,
237409172,CARIBBEAN UNIVERSITY,,PO BOX 493,BAYAMON,PR,00960-0493,0000,03,3,2000,197411,1,11,030059149,1,01,202306,9,8,01,0,06,51449461,16243819,16243819,,
237442980,ISRAEL RODRIGUEZ EVANGELISTIC ASSOCIATION INC,,PO BOX 41142,SANTURCE,PR,00940-1142,0000,03,3,7000,197503,1,10,001000000,1,02,,0,0,06,0,12,,,,,
237457205,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% RICARDO RODRIGUEZ,PO BOX 583,FLORIDA,PR,00650-0583,0194,05,9,3000,194010,2,00,263264265,5,01,202312,0,0,02,0,12,0,0,0,,3408 AFGE-USDA LOCAL
237576728,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOUTHERN JURISDICTION,,PO BOX 2638,GUAYAMA,PR,00785-2638,0095,10,9,1000,197210,1,00,030059902,5,01,202312,0,0,02,0,12,0,0,0,,VALLEY OF CAYEY
237576729,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA,% CARLOS R RIOS-HERNANDEZ,PO BOX 564,PUERTO REAL,PR,00740-0564,0095,10,9,1000,197210,1,00,030059902,5,01,202312,0,0,02,0,12,0,0,0,,VALLEY OF HUMACAO
237576731,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA,% ANTONIO SOTO S,PO BOX 153,CABO ROJO,PR,00623-0153,0095,10,9,1000,197210,1,00,030059902,5,01,202312,0,0,02,0,12,0,0,0,,VALLEY OF MAYAGUEZ
237576732,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS OF USA,% BENILDA VELEZ VELEZ,PO BOX 545,YAUCO,PR,00698-0545,0095,10,9,1000,197210,1,00,030059902,5,01,202312,0,0,02,0,12,0,0,0,,VALLEY OF PONCE
237576733,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA,% JOSE J GARCIA-VAZQUEZ,PO BOX 362095,SAN JUAN,PR,00936-2095,0095,10,9,1000,197210,1,00,030059902,5,01,202312,0,0,02,0,12,0,0,0,,VALLEY OF SAN JUAN
237576739,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SO JURIS USA,% JUAN A PARDO-MORAN,202B CIRCULO C BASE RAMEY,AGUADILLA,PR,00603-0000,0095,10,9,1000,194009,1,00,030059902,5,01,202312,0,0,02,0,12,0,0,0,,VALLEY OF ARECIBO
237576740,ANCIENT & ACCEPTED SCOTTISH RITE OF FREE MASONRY SOUTHERN JURISDICTION,,PO BOX 2011,CAGUAS,PR,00726-2011,0095,10,9,1000,197210,1,00,030059902,5,01,202312,0,0,02,0,12,0,0,0,,VALLEY OF CAGUAS
251687912,UNITED STEELWORKERS,% JORGE NIEVES,HCPO BX 6828,BAYAMON,PR,00960-0000,0260,05,9,3000,000000,0,00,000000000,0,01,202312,0,0,02,0,12,0,0,0,,09314 LOCAL
260032593,IGLESIA CRISTIANA CASA DE ORACION Y ADORACION,% LUGO BARRIOS LEIDA,CALLE FRANCISCO MARIANO QUINONEZ,SAN GERMAN,PR,00683-0000,0000,03,3,7000,200305,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
261555083,ARK HALL MINISTRIES,% REVEREND LUIS OCASIO,HC 3 BOX 18093,LAJAS,PR,00667-9650,0000,03,3,7200,200904,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
263691492,NURTURE,%,7000 BAHIA BEACH BLVD,RIO GRANDE,PR,00745-2900,0000,03,3,1200,200902,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,K30,
264751198,CASTANER DIGITAL INC,% RICHARD GROFF,PO BOX 4,CASTANER,PR,00631-0000,0000,03,3,1200,201206,1,15,000000000,1,01,202304,0,0,02,0,04,0,0,0,A80,
270235211,AMERICAN HARP SOCIETY,% JONATHAN SCHNEIDER,F9 CALLE 6,LUQUILLO,PR,00773-2415,3037,03,9,2000,197704,1,15,059119000,5,01,202312,0,0,02,0,12,0,0,0,,CENTRAL ILLINOIS ROSLYN RENSCH CHAP
274533508,YWJ ENTERPRISES,% JUAN M BORGE,URB PASEO SOL Y MAR 623 CALLE PERLA,JUANA DIAZ,PR,00795-0000,0000,03,3,7000,201501,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
300154886,SUENOS DORADOS DEL ENVEJECIENTE INC,,PO BOX 376,BAJADERO,PR,00616-0376,0000,03,3,1000,200307,1,15,000000000,1,01,201912,1,0,02,0,12,1,0,0,L21,
300649251,CHANGING LIVES IN GUATEMALA INC,% WILLIAM C MCGAHAN,200 DORADO BEACH DRIVE 3622 WEST,DORADO,PR,00646-0000,0000,03,3,1000,201012,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,Q33,
300951043,HONOR SOCIETY OF PHI KAPPA PHI,% JOSE ANTONIO FRONTERA,I2 PASEO ROCIO DEL CIELO,PONCE,PR,00730-1600,3488,03,9,1000,199901,1,16,000000000,1,01,202306,0,0,02,0,06,0,0,0,B83,PONTIFICAL CATHOLIC UNIV OF PR
301258029,TOASTMASTERS INTERNATIONAL,% KAIROS ADVANCED,PALMAR DEL RIO APT 426,GUAYNABO,PR,00969-0000,0820,03,9,2000,194505,0,16,059319000,1,01,202312,0,0,02,0,12,0,0,0,,7626626 KAIROS ADVANCED
310922542,DISABLED AMERICAN VETERANS,% HECTOR L HERNANDEZ,71 CALLE TRINITARIA,ISABELA,PR,00662-2756,0557,04,9,3000,194206,1,00,908279265,5,01,202406,0,0,02,0,06,0,0,0,W30,21 SSGT C VELAZQUEZ
311129090,DISABLED AMERICAN VETERANS,% PEDRO J COLON AYALA,1SFC A PENA GARCIA,GURABO,PR,00778-0000,0557,04,9,3000,194602,1,00,908279265,5,01,202312,0,0,02,0,12,0,0,0,,1 SFC A PENA GARCIA
311178910,AMERICAN SOCIETY OF AGRICULTURAL ENGINEERS,% MEGH GOYAL,1406 BO ESPINAL,AGUADA,PR,00602-2513,5081,03,9,1000,198606,1,15,059000000,1,01,202312,0,0,02,0,12,0,0,0,,PUERTO RICO SECTION
311390717,IGLESIA MISIONERA DISTRITO DE PUERTO RICO INC,,PO BOX 833,CEIBA,PR,00735-0833,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,01,0,12,,,,,
311390720,PRIMERA IEM DE ARECIBO,,9A CALLE 2,ARECIBO,PR,00612-4279,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
311392381,IEM AL AMPARO DE LA ROCA,,HC 3 BOX 7935,LAS PIEDRAS,PR,00771-9348,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
311425199,CASA DE RESTAURACION LA NUEVA JERUSALEN,,HC 2 BOX 22651,AGUADILLA,PR,00603-9630,2046,03,9,7000,196911,0,10,001000000,5,01,,0,0,06,0,12,,,,,
311483363,CENTRO DE DISCIPULADO MUNDIAL,% CENTRO DE DISCULPULADO MUNDIAL IN,PO BOX 8758,HUMACAO,PR,00792-8758,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
311624711,IGLESIA EVAN MIS FE Y OBRA,,PO BOX 9458,ARECIBO,PR,00613-9458,2046,03,9,7000,196911,1,10,001000000,5,01,,0,0,06,0,12,,,,,
311775402,EL CENTRO ISLAMICO EN PUERTO RICO,% TAWFIG ABUOSBA,PO BOX 25309,SAN JUAN,PR,00928-5309,0000,03,3,7000,200111,1,10,000000000,1,01,,0,0,06,0,12,,,,X40,
326567162,MAGNOLIA FOUNDATION,% TOM R S MILLON,408 COCO BEACH BLVD,RIO GRANDE,PR,00745-0000,0000,03,3,1000,202003,1,04,000000000,2,01,202212,4,3,00,1,12,422916,58070,,T22,TOM R MILLION TTEE
331088456,IGLESIA EVANGELICAL LUTERANA BETHEL,% YVETTE SALGADO,PO BOX 950,DORADO,PR,00646-0950,9386,03,9,7000,198804,1,10,001000000,1,01,,0,0,06,0,12,,,,,
363760877,MESSIANIC CHURCH FOR DIVINE LAW AND CHRISTIAN SCIENCE INC,,PO BOX 19887,SAN JUAN,PR,00910-1887,0000,03,3,7000,199105,1,10,001000000,1,01,,0,0,06,0,12,,,,,
364979756,TOASTMASTERS INTERNATIONAL,% DELTA LEADERS TOASTMASTERS CLUB,115 CALLE SAN JOSE,MOROVIS,PR,00687-2171,0820,03,9,2000,194505,0,16,059319000,1,01,202312,0,0,02,0,12,0,0,0,,7797604 DELTA LEADERS TOASTMASTERS
371993914,TOASTMASTERS INTERNATIONAL,% BORINQUEN TOASTMASTERS CLUB,PO BOX 4769,AGUADILLA,PR,00605-4769,0820,03,9,2000,194505,1,16,059319000,1,01,202312,0,0,02,0,12,0,0,0,,4603017 BORINQUEN TOASTMASTERS CLUB
384103847,UN NUEVO AMANECER INC,% RAMON FIGUEROA FELICIANO,31 AVE PADRE NOEL,PONCE,PR,00716-8021,0000,03,3,1000,202210,1,16,000000000,1,01,,0,0,02,0,12,,,,S21,
384163756,TOASTMASTERS INTERNATIONAL,% SAN JUAN TOASTMASTERS,EE139 CARR 860,CAROLINA,PR,00987-7013,0820,03,9,2000,194505,0,16,059319000,1,01,202212,0,0,02,0,12,0,0,0,,6786550 SAN JUAN TOASTMASTERS
384168631,TOASMASTERS INTERNATIONAL,% FORTEZA TOASTMASTERS,STREET 21 S5,PONCE,PR,00716-0000,0820,03,9,2000,194505,0,16,059319000,1,01,202212,0,0,02,0,12,0,0,0,,7048941 FORTEZA TOASTMASTERS
412028975,AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES,% ANA T ARCE,144 CALLE LAUREL,JUANA DIAZ,PR,00795-2829,0194,05,9,3000,194010,2,00,263269265,5,01,202312,4,2,02,0,12,119159,10666,10666,,0055 AFGE USDA LOCAL
420995074,MIND AND SPIRIT COUNSELING CENTER,,DSM PASTORAL COUNSELING CENTER,SAN JUAN,PR,00917-0000,0000,03,3,1000,197304,1,15,029563564,1,01,202312,6,6,01,0,12,3516867,3888131,3888131,,
421628144,CARAS OF THE AMERICAS,% PATTI SEMENIETTA,PO BOX 433,CATANO,PR,00963-0433,0000,03,3,2100,200703,1,15,000000000,1,01,202306,6,6,01,0,06,2315286,3751615,3751615,Q20,CARA
450498661,BELTRAN FAMILY FOUNDATION INC,% BDO USA LLP,PO BOX 801469,COTO LAUREL,PR,00780-1469,0000,03,3,1200,200512,1,04,000000000,1,01,202212,5,1,00,1,12,617927,7351,,T222,
463166659,CHRISTIAN ASSOCIATION FOR DEAF EDUCATION,% DIANE ROBINETTE,PO BOX 55,SANTA ISABEL,PR,00757-0055,0000,03,3,2000,201408,1,11,000000000,1,01,202312,0,0,02,0,12,0,0,0,B99,
463783185,ROBINSON CHIRINOS FOUNDATION,% ROBINSON CHIRINOS,PO BOX 801469,COTO LAUREL,PR,00780-1469,0000,03,3,1000,201405,1,15,000000000,1,01,202212,0,0,02,0,12,0,0,0,O50,
464544661,PUERTO RICO COMMUNITY & EDUCATION SERVICE CORPS - ISLAND CORPS,% DIRECTOR OF ISLAND CORPS,PO BOX 456,DORADO,PR,00646-0456,0000,03,3,1235,202312,1,15,000000000,1,01,202401,0,0,02,0,01,0,0,0,B90,ISLAND CORPS
465052397,ADVANCED LEADERSHIP FOUNDATION INC,% JUAN VERDE,266 CALLE DE NORZAGARAY,SAN JUAN,PR,00901-0000,0000,03,3,1000,201501,1,15,000000000,1,01,202212,3,4,01,0,12,46944,163328,235328,W70,
471327238,FACILITATORS - CAMP IRONHORSE INC,% SARAH GORDON,PO BOX 367493,SAN JUAN,PR,00936-7493,0000,03,3,1000,201410,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,M20,CAMP IRONHORSE
472811718,RED NESTS,,220 CALLE MANUEL DOMENECH 627,SAN JUAN,PR,00918-0000,0000,03,3,2000,201603,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,I20,
472864219,LINMARIE CONCEPCION MEMORIAL FUND,,1 VIA PEDREGAL,TRUJILLO ALTO,PR,00976-6600,0000,03,3,1000,201504,1,15,000000000,1,01,202112,0,0,02,0,12,0,0,0,B82,
521459222,MAMOU ELDERLY HOUSING DEVELOPMENT CORPORATION,,100 TORRE SANCHEZ ERAZO SUITE ADMIN,BAYAMON,PR,00959-8201,0000,03,3,1000,200206,1,15,160000000,1,01,202303,6,5,01,0,03,1448380,575136,575136,L21Z,SAVOY HEIGHTS-MAMOU ELDERLY HOUSING
521860470,HISPANIC EDUCATIONAL TECHNOLOGY SERVICES INC,% YUBELKYS MONTALVO,PO BOX 191293,SAN JUAN,PR,00919-1293,0000,03,3,1200,199404,1,15,994059000,1,01,202306,4,4,01,0,06,161661,255749,255749,B99,
522253278,U STREET INC,,URB CALLE D-105,AGUADILLA,PR,00603-0000,0000,03,3,1000,202404,1,15,000000000,1,01,,0,0,02,0,12,,,,A68,
522450435,EDUQUEMOS PARA LA VIDA INC,% RAY ADORNO,VILLAS DEL NORTE 16 CALLE AMATISTA,MOROVIS,PR,00687-0000,0000,03,3,2000,202105,1,15,000000000,1,01,202212,4,6,01,0,12,288624,1253967,1253967,,
562331353,DR LUIS BAEZ DIAZ BREAST CANCER FOUNDATION OF PUERTO RICO,% MARIA A BENITEZ,PO BOX 193557,SAN JUAN,PR,00919-0000,0000,03,3,2000,200705,1,15,000000000,1,01,202212,6,6,01,0,12,2099967,1080052,1080052,G32,SUSAN G KOMEN PUERTO RICO INC
611417308,SOCIEDAD AMBIENTE MARINO INC,% SAMUEL SULEIMAN,URB VILLAS NEVAREZ 1130 CALLE 3,SAN JUAN,PR,00921-0000,0000,03,3,1000,201305,1,15,000000000,1,01,202312,5,6,01,0,12,580094,1020312,1020312,B80,
611733844,ALPHA PHI OMEGA,% INTERAMERICAN UNIVERSITY SAN GERM,PO BOX 5100,SAN GERMAN,PR,00683-9801,1113,03,9,1000,196606,1,16,036000000,5,01,202112,0,0,02,0,12,0,0,0,,PSI ETA CHAPTER
612008068,TOASTMASTERS INTERNATIONAL,% REALTY SPEAKERS,16 CALLE LUHN APT 10,GUAYNABO,PR,00966-6401,0820,03,9,2000,194505,1,16,059319000,1,01,202212,0,0,02,0,12,0,0,0,,
650225746,RELIGIOUS OF THE APOSTOLATE OF FLORIDA INC,,PO BOX 8300,PONCE,PR,00732-8300,0928,03,9,1700,194603,1,10,031150120,5,01,,0,0,06,0,12,,,,,
660056721,AMERICAN LEGION,% HARRY E TROCHE,CARR 307 VILLA TAINA,BOQUERON,PR,00622-0000,0925,19,9,1000,194603,2,00,907908000,5,01,202312,0,0,02,0,12,0,0,0,W30,0154 LUIS HERNANDEZ RODRIGUEZ
660176861,BENEVOLENT & PROTECTIVE ORDER OF ELKS OF THE USA,,PO BOX 191982,SAN JUAN,PR,00919-1982,1156,08,9,1000,197210,1,00,279265000,5,01,,0,0,00,0,03,,,,,0972 SAN JUAN
660177776,INTER AMERICAN UNIVERSITY OF PUERTO RICO,,PO BOX 36325,SAN JUAN,PR,00936-0000,0000,03,3,2700,194307,1,11,030000000,1,01,202306,9,9,01,0,06,761346261,264531747,255461511,B430,
660177824,PRESBYTERIAN COMMUNITY HOSPITAL INC,,1451 ASHFORD AVENUE,SAN JUAN,PR,00907-1511,0000,03,3,1000,194905,1,12,059179150,1,01,202306,8,9,01,0,06,49806900,70808543,69602086,,
660178704,SOCIEDAD ESPANOLA DE AUXILIO MUTUO Y BENEFICENCIA DE PUERTO RICO,% MARIA DE L MARTI,PO BOX 191227,SAN JUAN,PR,00919-1227,0000,03,1,1000,198106,1,12,150000000,1,01,202309,9,9,01,0,09,224233502,96354209,43031376,E220,
660183310,HOSPITAL DAMAS INC,,2213 PONCE BY PASS,PONCE,PR,00717-0000,0928,03,9,1000,199701,0,10,000000000,1,01,202212,9,9,06,0,12,64334501,74946606,71887197,,
660189899,CENTRO UNIDO DE DETALLISTAS,% LOURDES M APONTE RODRIGUEZ,PO BOX 190127,SAN JUAN,PR,00919-0127,0000,06,3,3000,201708,2,00,000000000,1,01,202212,7,6,01,0,12,5284832,3754156,3754156,S40,
660190492,CAMARA DE COMERCIO DE PONCE Y SUR DE PUERTO RICO,,PO BOX 7455,PONCE,PR,00732-7455,0000,06,3,3000,200709,2,00,000000000,1,01,202306,4,4,01,0,06,255158,431763,431763,S41,
660190784,THE YOUNG MENS CHRISTIAN ASSOCIATION OF SAN JUAN,,PO BOX 360590,SAN JUAN,PR,00936-0590,0000,03,3,2000,201809,1,15,324029349,1,01,202212,7,7,01,0,12,6798137,5560847,5560847,N30,
660191841,PUERTO RICO CANCER AND HEALTH FOUNDATION INC,% FERNANDO CRUZ-DOMINICCI,PO BOX 8219,PONCE,PR,00732-8219,0000,03,3,1000,200005,1,12,000000000,1,01,202306,6,3,01,0,06,4252025,73599,73599,E24,
660191857,COLEGIO PONCENO INC,,1900 CARR 14,COTO LAUREL,PR,00780-2147,0928,03,9,7100,194603,1,11,000000000,5,01,,7,6,13,0,12,,,,,
660191935,CASA DE NINOS MANUEL FERNANDEZ JUNCOS INC,,PO BOX 9020163,SAN JUAN,PR,00902-0163,0000,03,3,1000,199106,1,15,326000000,1,01,202206,6,6,01,0,06,1996911,1201207,1201207,,
660191965,PONTIFICAL CATHOLIC UNIVERSITY OF PUERTO RICO,% THE ORGANIZATION,2250 BLVD LUIS A FERRE SUITE 523,PONCE,PR,00717-0655,0928,03,9,1200,194603,1,11,000000000,5,01,202306,9,9,01,0,06,175289999,81484578,81222689,B430,
660192508,SEMINARIO EVANGEICO DE PR,,776 AVE PONCE DE LEON,SAN JUAN,PR,00925-2207,0000,03,3,7000,199110,1,11,000000000,1,01,,0,0,13,0,05,,,,,
660192808,PRIMERA IGLESIA BAUTISTA DE RIO PIE DRAS INC,,1058 CALLE BRUMBAUGH,SAN JUAN,PR,00925-2914,3125,03,9,7000,195504,1,10,001000000,5,01,,0,0,06,0,12,,,,,8111
660194027,ASOCIACION DE MAESTROS DE P R,,PO BOX 191088,SAN JUAN,PR,00919-1088,0000,05,3,3000,201909,2,00,000000000,1,01,202306,8,8,01,0,06,12382490,31588171,31588171,J40,ASOCIACION DE MAESTROS DE P R
660194690,COLEGIO DE ABOGADOS DE P R,% COLE,PO BOX 9021,SAN JUAN,PR,00908-0021,0000,06,3,2000,201902,2,00,000000000,1,01,202312,7,6,01,0,12,5397598,1679094,1646204,S41,
660196040,INSTITUTO PSICOPEDAGOGICO DE PUERTO RICO,% AIXA RIVERA ACCOUNTANT,PO BOX 363744,SAN JUAN,PR,00936-3744,0000,03,3,1000,200103,1,16,000000000,1,01,202306,6,7,01,0,06,4823547,8023340,7999313,F33,
660196638,LICEO PONCENO INC,,2825 AVE FD ROOSEVELT,PONCE,PR,00717-1225,0000,03,3,2000,202204,1,11,000000000,1,01,202306,6,6,01,0,06,4181452,2451458,2451458,B24,
660197812,COLEGIO DE INGENIEROS Y AGRIMENSORES DE PR,,PO BOX 363845,SAN JUAN,PR,00936-3845,0000,06,3,2000,194505,0,00,000000000,1,01,202308,8,7,01,0,08,33678511,6136424,6136424,,
660197834,IGLESIA EPISCOPAL PUERTORRIQUENA INC,,PO BOX 9262,SAN JUAN,PR,00908-0262,0000,03,3,7000,199902,1,10,000000000,1,01,,0,0,06,0,12,,,,,
660197896,COLEGIO SAN JOSE MARIANIST CORP,% BRO FRANCISCO T GONZALEZ,PO BOX 21300,SAN JUAN,PR,00928-1300,0000,03,3,2000,201008,1,11,000000000,1,01,202306,7,7,01,0,06,8867193,5500425,5494883,B25,
660199364,SAINT JOHNS SCHOOL,,1466 ASHFORD AVE,SAN JUAN,PR,00907-0000,0000,03,3,2000,196309,1,11,046030000,5,01,202306,8,8,01,0,06,28710882,15536990,15352034,B20Z,
660200470,CARIBE GIRL SCOUTS COUNCIL INC,,500 CALLE ELISA COLBERG,SAN JUAN,PR,00907-2607,0000,03,3,1200,199405,1,15,320000000,1,01,202306,6,6,01,0,06,3092419,1317364,706726,O420,
